"Category","BSync XPath","Brick Class IRI","Notes"
"Location","//auc:Buildings/auc:Building","https://brickschema.org/schema/1.1/Brick#Building",
"Location","//auc:ThermalZones/auc:ThermalZone","https://brickschema.org/schema/1.1/Brick#HVAC_Zone",
"Location","//auc:Sites/auc:Site","https://brickschema.org/schema/1.1/Brick#Site",
"Equipment","//auc:CoolingPlants/auc:CoolingPlant/auc:Chiller[auc:ChillerType/text()='Absorption']","https://brickschema.org/schema/1.1/Brick#Absorption_Chiller",
"Equipment","//auc:Deliveries/auc:Delivery[auc:DeliveryType/auc:CentralAirDistribution/auc:AirDeliveryType/text()='Central fan']","https://brickschema.org/schema/1.1/Brick#AHU",
"Equipment","//auc:HeatingPlants/auc:HeatingPlant/auc:Boiler","https://brickschema.org/schema/1.1/Brick#Boiler",
"Equipment","//auc:CoolingPlants/auc:CoolingPlant/auc:Chiller[auc:ChillerType/text()='Vapor compression' and auc:ChillerCompressorType/text()='Centrifugal']","https://brickschema.org/schema/1.1/Brick#Centrifugal_Chiller",
"Equipment","//auc:PumpSystems/auc:PumpSystem[auc:PumpApplication/text()='Chilled Water']","https://brickschema.org/schema/1.1/Brick#Chilled_Water_Pump",
"Equipment","//auc:CoolingPlants/auc:CoolingPlant","https://brickschema.org/schema/1.1/Brick#Chilled_Water_System",
"Equipment","//auc:CoolingPlants/auc:CoolingPlant/auc:Chiller","https://brickschema.org/schema/1.1/Brick#Chiller",
"Equipment","//auc:CoolingSources/auc:CoolingSource","https://brickschema.org/schema/1.1/Brick#Cooling_Coil",
"Equipment","//auc:HeatingSources/auc:HeatingSource","https://brickschema.org/schema/1.1/Brick#Heating_Coil",
"Equipment","//auc:MotorSystems/auc:MotorSystem[auc:MotorApplication/text()='Compressor']","https://brickschema.org/schema/1.1/Brick#Compressor",
"Equipment","//auc:PumpSystems/auc:PumpSystem[auc:PumpApplication/text()='Condenser']","https://brickschema.org/schema/1.1/Brick#Condenser_Water_Pump",
"Equipment","NA","https://brickschema.org/schema/1.1/Brick#Condenser",
"Equipment","NA","https://brickschema.org/schema/1.1/Brick#CRAC",
"Equipment","NA","https://brickschema.org/schema/1.1/Brick#Damper",
"Equipment","//auc:DomesticHotWaterSystems/auc:DomesticHotWaterSystem","https://brickschema.org/schema/1.1/Brick#Domestic_Hot_Water_System",
"Equipment","NA","https://brickschema.org/schema/1.1/Brick#Economizer",
"Equipment","//auc:FanSystems/auc:FanSystem[auc:FanApplication/text()='Exhaust']","https://brickschema.org/schema/1.1/Brick#Exhaust_Fan",
"Equipment","//auc:FanSystems/auc:FanSystem","https://brickschema.org/schema/1.1/Brick#Fan",
"Equipment","//auc:HeatRecoverySystems/auc:HeatRecoverySystem","https://brickschema.org/schema/1.1/Brick#Heat_Exchanger","??"
"Equipment","//auc:HeatRecoverySystems/auc:HeatRecoverySystem[auc:HeatRecoveryType/text()='Thermal wheel']","https://brickschema.org/schema/1.1/Brick#Heat_Wheel",
"Equipment","//auc:HVACSystems/auc:HVACSystem","https://brickschema.org/schema/1.1/Brick#Heating_Ventilation_Air_Conditioning_System",
"Equipment","NA","https://brickschema.org/schema/1.1/Brick#Hot_Water_Pump",
"Equipment","//auc:OtherHVACSystems/OtherHVACSystem[auc:OtherHVACType/auc:Humidifier]","https://brickschema.org/schema/1.1/Brick#Humidifier",
"Equipment","//auc:OtherHVACSystems/OtherHVACSystem[auc:OtherHVACType/auc:Dehumidifier]","NA",
"Equipment","//auc:LightingSystems/auc:LightingSystem","https://brickschema.org/schema/1.1/Brick#Lighting_System",
"Equipment","//auc:PumpSystems/auc:PumpSystem","https://brickschema.org/schema/1.1/Brick#Pump",
"Equipment","//auc:FanSystems/auc:FanSystem[auc:FanApplication/text()='Return']","https://brickschema.org/schema/1.1/Brick#Return_Fan",
"Equipment","//auc:FanSystems/auc:FanSystem[auc:FanApplication/text()='Supply']","https://brickschema.org/schema/1.1/Brick#Supply_Fan",
"Equipment","//auc:HeatingPlants/auc:HeatingPlant","NA","Should be something like a Heating_Hot_Water_System or Service_Hot_Water_System"
"Equipment","//auc:CondensorPlants/auc:CondensorPlant[auc:WaterCooled/auc:WaterCooledCondenserType/text()='Cooling tower']","NA","No Cooling tower? Outrage! :)"
